acceptance_rate,ideal_v1_speedup,loaded_v1_5_speedup
0.0,0.71,0.53
0.2,0.89,0.66
0.4,1.18,0.87
0.6,1.65,1.21
0.8,2.40,1.77
0.9,2.93,2.16
